Barcode,Antibiotic,Site,Recommended,Percent Resistance
E. coli,Ampicillin,Any,NO,55
561,Ampicillin,Any,NO,86
620,Ampicillin,Any,NO,52
571,Ampicillin,Any,NO,69
271,Ampicillin,Any,NO,74
530,Ampicillin,Any,NO,39
760,Ampicillin,Any,NO,31
361,Ampicillin,Any,NO,48
771,Ampicillin,Any,NO,54
560,Ampicillin,Any,NO,91
360,Ampicillin,Any,NO,50
761,Ampicillin,Any,NO,53
751,Ampicillin,Any,NO,36
721,Ampicillin,Any,NO,35
371,Ampicillin,Any,NO,73
531,Ampicillin,Any,NO,31
131,Ampicillin,Any,NO,46
661,Ampicillin,Any,NO,40
511,Ampicillin,Any,NO,35
261,Ampicillin,Any,NO,55
551,Ampicillin,Any,NO,43
520,Ampicillin,Any,NO,56
700,Ampicillin,Any,NO,62
231,Ampicillin,Any,NO,74
260,Ampicillin,Any,NO,56
510,Ampicillin,Any,NO,50
171,Ampicillin,Any,NO,53
500,Ampicillin,Any,NO,100
200,Ampicillin,Any,NO,54
220,Ampicillin,Any,NO,59
731,Ampicillin,Any,NO,26
351,Ampicillin,Any,NO,66
570,Ampicillin,Any,NO,51
300,Ampicillin,Any,NO,48
671,Ampicillin,Any,NO,80
630,Ampicillin,Any,NO,45
251,Ampicillin,Any,NO,98
711,Ampicillin,Any,NO,35
321,Ampicillin,Any,NO,28
160,Ampicillin,Any,NO,26
651,Ampicillin,Any,NO,31
370,Ampicillin,Any,NO,66
550,Ampicillin,Any,YES,17
350,Ampicillin,Any,NO,86
660,Ampicillin,Any,NO,42
741,Ampicillin,Any,YES,2
750,Ampicillin,Any,NO,72
710,Ampicillin,Any,NO,26
521,Ampicillin,Any,NO,31
130,Ampicillin,Any,NO,52
320,Ampicillin,Any,NO,72
720,Ampicillin,Any,NO,68
611,Ampicillin,Any,YES,0
540,Ampicillin,Any,NO,100
730,Ampicillin,Any,NO,26
631,Ampicillin,Any,YES,1
230,Ampicillin,Any,NO,98
621,Ampicillin,Any,NO,68
341,Ampicillin,Any,YES,17
330,Ampicillin,Any,NO,76
240,Ampicillin,Any,YES,0
221,Ampicillin,Any,YES,2
121,Ampicillin,Any,YES,0
641,Ampicillin,Any,NO,100
20,Ampicillin,Any,YES,0
400,Ampicillin,Any,NO,100
331,Ampicillin,Any,YES,0
650,Ampicillin,Any,NO,100
770,Ampicillin,Any,NO,98
610,Ampicillin,Any,NO,100
161,Ampicillin,Any,YES,0
600,Ampicillin,Any,NO,100
E. coli,Amoxicillin/Clavulanate,Any,NO,24
561,Amoxicillin/Clavulanate,Any,NO,51
620,Amoxicillin/Clavulanate,Any,NO,27
571,Amoxicillin/Clavulanate,Any,NO,23
271,Amoxicillin/Clavulanate,Any,YES,18
530,Amoxicillin/Clavulanate,Any,YES,15
760,Amoxicillin/Clavulanate,Any,YES,11
361,Amoxicillin/Clavulanate,Any,NO,24
771,Amoxicillin/Clavulanate,Any,YES,17
560,Amoxicillin/Clavulanate,Any,NO,32
360,Amoxicillin/Clavulanate,Any,YES,14
761,Amoxicillin/Clavulanate,Any,NO,24
751,Amoxicillin/Clavulanate,Any,YES,9
721,Amoxicillin/Clavulanate,Any,YES,14
371,Amoxicillin/Clavulanate,Any,NO,47
531,Amoxicillin/Clavulanate,Any,YES,17
131,Amoxicillin/Clavulanate,Any,NO,39
661,Amoxicillin/Clavulanate,Any,YES,20
511,Amoxicillin/Clavulanate,Any,YES,10
261,Amoxicillin/Clavulanate,Any,NO,24
551,Amoxicillin/Clavulanate,Any,YES,8
520,Amoxicillin/Clavulanate,Any,NO,27
700,Amoxicillin/Clavulanate,Any,NO,27
231,Amoxicillin/Clavulanate,Any,NO,55
260,Amoxicillin/Clavulanate,Any,NO,23
510,Amoxicillin/Clavulanate,Any,YES,12
171,Amoxicillin/Clavulanate,Any,NO,21
500,Amoxicillin/Clavulanate,Any,NO,61
200,Amoxicillin/Clavulanate,Any,YES,9
220,Amoxicillin/Clavulanate,Any,YES,16
731,Amoxicillin/Clavulanate,Any,YES,7
351,Amoxicillin/Clavulanate,Any,NO,47
570,Amoxicillin/Clavulanate,Any,NO,22
300,Amoxicillin/Clavulanate,Any,NO,25
671,Amoxicillin/Clavulanate,Any,YES,14
630,Amoxicillin/Clavulanate,Any,NO,34
251,Amoxicillin/Clavulanate,Any,NO,36
711,Amoxicillin/Clavulanate,Any,YES,2
321,Amoxicillin/Clavulanate,Any,YES,12
160,Amoxicillin/Clavulanate,Any,NO,26
651,Amoxicillin/Clavulanate,Any,NO,20
370,Amoxicillin/Clavulanate,Any,NO,23
550,Amoxicillin/Clavulanate,Any,YES,7
350,Amoxicillin/Clavulanate,Any,NO,32
660,Amoxicillin/Clavulanate,Any,NO,31
741,Amoxicillin/Clavulanate,Any,YES,2
750,Amoxicillin/Clavulanate,Any,NO,60
710,Amoxicillin/Clavulanate,Any,YES,1
521,Amoxicillin/Clavulanate,Any,YES,0
130,Amoxicillin/Clavulanate,Any,YES,2
320,Amoxicillin/Clavulanate,Any,NO,47
720,Amoxicillin/Clavulanate,Any,NO,51
611,Amoxicillin/Clavulanate,Any,YES,0
540,Amoxicillin/Clavulanate,Any,YES,2
730,Amoxicillin/Clavulanate,Any,YES,0
631,Amoxicillin/Clavulanate,Any,YES,1
230,Amoxicillin/Clavulanate,Any,NO,98
621,Amoxicillin/Clavulanate,Any,NO,68
341,Amoxicillin/Clavulanate,Any,YES,0
330,Amoxicillin/Clavulanate,Any,YES,1
240,Amoxicillin/Clavulanate,Any,YES,0
221,Amoxicillin/Clavulanate,Any,YES,2
121,Amoxicillin/Clavulanate,Any,YES,0
641,Amoxicillin/Clavulanate,Any,YES,1
20,Amoxicillin/Clavulanate,Any,YES,0
400,Amoxicillin/Clavulanate,Any,NO,100
331,Amoxicillin/Clavulanate,Any,YES,0
650,Amoxicillin/Clavulanate,Any,NO,100
770,Amoxicillin/Clavulanate,Any,NO,98
610,Amoxicillin/Clavulanate,Any,YES,2
161,Amoxicillin/Clavulanate,Any,YES,0
600,Amoxicillin/Clavulanate,Any,YES,1
E. coli,Cephalexin,Any,YES,13
561,Cephalexin,Any,NO,41
620,Cephalexin,Any,YES,8
571,Cephalexin,Any,YES,11
271,Cephalexin,Any,YES,7
